code,name,price
IC01,Mixue Ice Cream,8000
IC02,Ice Cream Jasmine Tea,15000
IC03,Ice Cream Earl Grey Tea,15000
IC04,Boba Sundae,18000
IC05,Boba Shake,18000
IC06,Mi-Sundae Mango Ice Cream,18000
IC07,Peach Mi-Shake,16000
IC08,Strawberry Mi-Shake,16000
IC09,Coffee Smoothies,18000
IC10,Lucky Sundae,18000
