code,name,price
MT01,Pearl Milk Tea,19000
MT02,Oats Milk Tea,19000
MT03,Coconut Jelly Milk Tea,19000
MT04,Red Bean Milk Tea,19000
MT05,Milk Tea with 2 Toppings,19000
MT06,Mocha Milk Shake,16000
MT07,Brown Sugar Pearl Milk Tea,19000
MT08,Supreme Mixed Milk Tea,22000
